SampleName,Camalexin (ng/mm),Cam.SE,Lesion Area (mm2),Les.SE
COL0G1E06,0,6.11595,4.854255,3.76642
COL0G1F06,0,6.11595,4.854255,3.76642
COL0G2E06,0,6.11595,4.854255,3.76642
COL0G2F06,0,6.11595,4.854255,3.76642
COL0G1E75,0,4.332392,6.212889,3.769748
COL0G1F75,0,4.332392,6.212889,3.769748
COL0G2F75,0,4.332392,6.212889,3.769748
NPR1G1E71,0,3.083794,3.376574,4.72022
NPR1G1F71,0,3.083794,3.376574,4.72022
NPR1G2E71,0,3.083794,3.376574,4.72022
NPR1G2F71,0,3.083794,3.376574,4.72022
COIL1G1E88,0,1.903546,8.228597,6.742837
COIL1G1F88,0,1.903546,8.228597,6.742837
COIL1G2E88,0,1.903546,8.228597,6.742837
COIL1G2F88,0,1.903546,8.228597,6.742837
COIL1G1E37,0,1.531762,19.731411,6.721015
COIL1G1F37,0,1.531762,19.731411,6.721015
COIL1G2E37,0,1.531762,19.731411,6.721015
COIL1G2F37,0,1.531762,19.731411,6.721015
COIL1G1E59,0,2.11503,53.718013,6.730401
COIL1G1F59,0,2.11503,53.718013,6.730401
COIL1G2E59,0,2.11503,53.718013,6.730401
COIL1G2F59,0,2.11503,53.718013,6.730401
COIL1G1E53,0,1.907029,49.89856,6.756544
COIL1G1F53,0,1.907029,49.89856,6.756544
COIL1G2E53,0,1.907029,49.89856,6.756544
COIL1G2F53,0,1.907029,49.89856,6.756544
COIL1G1E50,0,1.899251,29.114537,6.726318
COIL1G1F50,0,1.899251,29.114537,6.726318
COIL1G2E50,0,1.899251,29.114537,6.726318
COIL1G2F50,0,1.899251,29.114537,6.726318
COIL1G1E17,0,1.901018,30.492295,7.611379
COIL1G1F17,0,1.901018,30.492295,7.611379
COIL1G2E17,0,1.901018,30.492295,7.611379
COIL1G2F17,0,1.901018,30.492295,7.611379
COIL1G1F35,0,1.532075,43.022207,6.72198
COIL1G2E35,0,1.532075,43.022207,6.72198
COIL1G2F35,0,1.532075,43.022207,6.72198
COIL1G1E54,0,1.749306,62.290627,7.114959
COIL1G1F54,0,1.749306,62.290627,7.114959
COIL1G2E54,0,1.749306,62.290627,7.114959
COIL1G2F54,0,1.749306,62.290627,7.114959
COIL1G1E02,0,1.534861,22.043955,6.732638
COIL1G1F02,0,1.534861,22.043955,6.732638
COIL1G2E02,0,1.534861,22.043955,6.732638
COIL1G2F02,0,1.534861,22.043955,6.732638
COIL1G1E52,0,1.74566,68.466765,7.587015
COIL1G1F52,0,1.74566,68.466765,7.587015
COIL1G2E52,0,1.74566,68.466765,7.587015
COIL1G2F52,0,1.74566,68.466765,7.587015
COIL1G1E48,0.03643638,1.627036,67.633692,6.724402
COIL1G1F48,0.03643638,1.627036,67.633692,6.724402
COIL1G2E48,0.03643638,1.627036,67.633692,6.724402
COIL1G2F48,0.03643638,1.627036,67.633692,6.724402
COIL1G1E85,0.14602028,1.626452,12.13809,6.722794
COIL1G1F85,0.14602028,1.626452,12.13809,6.722794
COIL1G2E85,0.14602028,1.626452,12.13809,6.722794
COIL1G1E78,0.15333998,1.537368,40.686732,6.730009
COIL1G1F78,0.15333998,1.537368,40.686732,6.730009
