OriginalName,TairName
ArthCp002,ATCG00020
ArthCp005,ATCG00070
ArthCp006,ATCG00080
ArthCp016,ATCG00220
ArthCp017,ATCG00270
ArthCp018,ATCG00280
ArthCp019,ATCG00300
ArthCp021,ATCG00340
ArthCp022,ATCG00350
ArthCp023,ATCG00360
ArthCp030,ATCG00490
ArthCp031,ATCG00500
ArthCp032,ATCG00510
ArthCp033,ATCG00520
ArthCp035,ATCG00540
ArthCp036,ATCG00550
ArthCp037,ATCG00560
ArthCp038,ATCG00570
ArthCp039,ATCG00580
ArthCp041,AT4G03280
ArthCp042,ATCG00630
ArthCp049,ATCG00680
ArthCp051,ATCG00700
ArthCp052,ATCG00710
ArthCp053,ATCG00720
ArthCp054,ATCG00730
ArthCp075,ATCG01060
ArthCp078,ATCG01090
DA397_mgp01,ATCG00500
DA397_mgp04,ATMG00650
DA397_mgp07,ATMG00730
DA397_mgp14,AT2G07751
DA397_mgp19,ATMG00510
DA397_mgp23,ATMG00580
DA397_mgp27,ATMG00220
DA397_mgp30,ATMG01360
DA397_mgp33,AT2G07698
DA397_mgp38,ATMG00070
